,house_details,price_lakh,other_details
0,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
1,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
2,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area934 sq ftStatusReady to moveBathrooms2New/ResaleNew
3,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
4,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
5,"2 BHK Independent House  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms1New/ResaleNew
6,"2 BHK Villa  - 800 sq ft Amity villaAmity Road, Lucknow",38,StatusReady to moveBathrooms2New/ResaleNew
7,"2 BHK Villa  - 750 sq ft amity villaAmity University Road, Lucknow",37,StatusReady to moveBathrooms2New/ResaleNew
8,"2 BHK Villa  - 750 sq ft Amity villaLolai, Lucknow",36,StatusReady to moveBathrooms2New/ResaleNew
9,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
10,"2 BHK Independent House  - 1,200 sq ftSitapur Road, Lucknow",32,Carpet area934 sq ftStatusReady to moveBathrooms2New/ResaleNew
11,"2 BHK Villa  - 1,250 sq ft amity villaNijampur Malhaur, Lucknow",50,StatusReady to moveBathrooms2New/ResaleNew
12,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms1New/ResaleNew
13,"2 BHK Villa  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms1New/ResaleNew
14,"2 BHK Independent House  - 800 sq ftIndira Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
15,"2 BHK Independent House  - 800 sq ftIsmailganj, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
16,"2 BHK Independent House  - 800 sq ftKamta Chinhut, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
17,"2 BHK Independent House  - 800 sq ftSurendra Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
18,"2 BHK Independent House  - 800 sq ftHarihar Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
19,"2 BHK Independent House  - 800 sq ftMunshi Pulia, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
20,"2 BHK Independent House  - 1,000 sq ftMalhaur Railway Station Road, Lucknow",40,"Carpet area999 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
21,"2 BHK Independent House  - 1,000 sq ftGomti Nagar Extension, Lucknow",40,"Carpet area999 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
22,"2 BHK Independent House  - 800 sq ftTakrohi, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
23,"2 BHK Independent House  - 1,150 sq ft Dayal Residency Faizabad Road near Chinhat and BBDChinhat, Lucknow",50,Carpet area1143 sq ftStatusReady to moveBathrooms2New/ResaleResale
24,"2 BHK Villa  - 1,000 sq ftJankipuram Extension, Lucknow",38,"Carpet area999 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
25,"2 BHK Villa  - 800 sq ftJankipuram Extension, Lucknow",30.4,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
26,"2 BHK Villa  - 1,250 sq ft ROLEX YASHPARK CITYsafedabadFaizabad Road, Lucknow",47,Carpet area1008 sq ftStatusUnder ConstructionBathrooms2Additional Rooms1 rooms(study room)
27,"2 BHK Villa  - 1,250 sq ft Rolex yashparkcityFaizabad Road, Lucknow",47,Carpet area1008 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
28,"2 BHK Villa  - 1,000 sq ftYash Park CityUattardhona, Lucknow",49.5,StatusReady to moveBathrooms2New/ResaleResale
29,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
